epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1221.17,1.07573,0.89594,1.22941,0.84174,0.78316,0.86535,0.57854,1.10254,0.94817,1.25808,0.0014588,0.0014588,0.0014588
43,1248.75,1.08126,0.91878,1.23896,0.77509,0.72737,0.78972,0.52558,1.0886,1.04771,1.27133,0.0014456,0.0014456,0.0014456
44,1278.53,1.07414,0.88334,1.24073,0.88045,0.76751,0.8768,0.60945,1.05862,0.92676,1.24461,0.0014324,0.0014324,0.0014324
45,1307.79,1.09347,0.88257,1.24114,0.84015,0.78211,0.85826,0.59076,1.08931,0.9298,1.24247,0.0014192,0.0014192,0.0014192
46,1336.34,1.05938,0.87606,1.23599,0.83961,0.71474,0.82763,0.5675,1.09696,1.03344,1.25148,0.001406,0.001406,0.001406
47,1366.41,1.06053,0.8592,1.21831,0.79561,0.75801,0.84239,0.58882,1.0629,0.93676,1.23136,0.0013928,0.0013928,0.0013928
48,1394.33,1.06189,0.87835,1.23147,0.85956,0.76632,0.85662,0.59399,1.04603,0.91255,1.23359,0.0013796,0.0013796,0.0013796
49,1424.15,1.04676,0.83098,1.20578,0.83878,0.77579,0.85062,0.59506,1.07104,0.99794,1.26281,0.0013664,0.0013664,0.0013664
50,1453.7,1.05588,0.8415,1.21691,0.8498,0.77579,0.86297,0.59443,1.07803,0.92026,1.27901,0.0013532,0.0013532,0.0013532
51,1481.55,1.02692,0.83324,1.2061,0.87125,0.76,0.85737,0.59149,1.08206,0.92976,1.23326,0.00134,0.00134,0.00134
52,1511.88,1.02106,0.80154,1.19418,0.83756,0.76632,0.86234,0.59943,1.07707,0.89927,1.2314,0.0013268,0.0013268,0.0013268
53,1539.85,1.05277,0.84128,1.21572,0.80721,0.76245,0.83507,0.56712,1.10818,0.94537,1.29897,0.0013136,0.0013136,0.0013136
54,1569.2,1.04108,0.82516,1.20928,0.70257,0.81684,0.75464,0.51492,1.08515,1.05077,1.25824,0.0013004,0.0013004,0.0013004
55,1598.05,1.03941,0.84133,1.21708,0.74289,0.75427,0.82256,0.55929,1.1191,1.0301,1.27196,0.0012872,0.0012872,0.0012872
56,1625.67,1.0176,0.82475,1.19545,0.88215,0.79578,0.86916,0.61075,1.06374,0.90088,1.2371,0.001274,0.001274,0.001274
