epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1610.88,1.11863,0.98133,1.39992,0.80467,0.74211,0.81341,0.55039,1.09494,1.06003,1.4496,0.0014588,0.0014588,0.0014588
43,1649.23,1.09216,0.98936,1.37869,0.85399,0.76958,0.86771,0.61424,1.01781,0.93738,1.41411,0.0014456,0.0014456,0.0014456
44,1687.46,1.10827,0.95837,1.38531,0.88088,0.76285,0.87104,0.59657,1.07687,0.85885,1.43006,0.0014324,0.0014324,0.0014324
45,1724.85,1.12015,0.966,1.38272,0.69275,0.78316,0.80963,0.57882,1.00454,1.08159,1.3891,0.0014192,0.0014192,0.0014192
46,1763.02,1.08033,0.94391,1.37838,0.71741,0.74421,0.79055,0.55184,1.04184,1.17967,1.43193,0.001406,0.001406,0.001406
47,1800.83,1.05401,0.91845,1.35513,0.77094,0.74526,0.8162,0.56883,1.04385,1.04433,1.47833,0.0013928,0.0013928,0.0013928
48,1838.81,1.08125,0.94848,1.38292,0.71271,0.80211,0.78386,0.53862,1.02614,1.06478,1.4021,0.0013796,0.0013796,0.0013796
49,1877.71,1.07839,0.89413,1.35875,0.81308,0.79789,0.87164,0.60387,1.04259,0.9525,1.431,0.0013664,0.0013664,0.0013664
50,1916.15,1.06178,0.89576,1.35498,0.73057,0.75684,0.79212,0.55328,1.03487,1.13351,1.42929,0.0013532,0.0013532,0.0013532
51,1953.51,1.06164,0.91846,1.36865,0.84362,0.78316,0.84989,0.58444,1.06519,0.92955,1.45066,0.00134,0.00134,0.00134
52,1990.93,1.0542,0.8811,1.35037,0.85359,0.71804,0.83805,0.58106,1.07709,1.1102,1.4604,0.0013268,0.0013268,0.0013268
53,2028.71,1.06847,0.87534,1.35847,0.69577,0.7824,0.797,0.57835,0.97155,1.07833,1.3909,0.0013136,0.0013136,0.0013136
54,2066.98,1.05215,0.88274,1.35832,0.73687,0.76842,0.80499,0.55946,1.05665,1.05676,1.46247,0.0013004,0.0013004,0.0013004
55,2105.59,1.05454,0.89355,1.35527,0.87174,0.68526,0.81556,0.53611,1.09432,1.03366,1.49806,0.0012872,0.0012872,0.0012872
56,2144.27,1.04295,0.86809,1.3369,0.77127,0.75263,0.79066,0.54737,1.06553,1.12747,1.48314,0.001274,0.001274,0.001274
57,2183.16,1.04586,0.84422,1.32827,0.71424,0.69474,0.7515,0.53937,1.0261,1.2564,1.40803,0.0012608,0.0012608,0.0012608
58,2221.02,1.03913,0.85315,1.3491,0.75401,0.77684,0.80133,0.54819,1.0942,1.10658,1.5334,0.0012476,0.0012476,0.0012476
59,2258.71,1.02421,0.82605,1.33074,0.78564,0.72143,0.80829,0.5744,1.00435,1.0762,1.41705,0.0012344,0.0012344,0.0012344
60,2296.5,0.99376,0.82101,1.30684,0.74246,0.76775,0.75024,0.51563,1.06453,1.13011,1.47062,0.0012212,0.0012212,0.0012212
61,2334.62,1.02418,0.83428,1.31649,0.89495,0.78526,0.86773,0.62228,0.98866,0.82357,1.38039,0.001208,0.001208,0.001208
62,2373.36,0.99959,0.8138,1.30244,0.72894,0.7728,0.75943,0.52449,1.0711,1.15951,1.51162,0.0011948,0.0011948,0.0011948
63,2412.33,1.01106,0.82247,1.32797,0.79238,0.75579,0.85954,0.59682,1.01287,0.87806,1.39347,0.0011816,0.0011816,0.0011816
64,2450.51,1.01063,0.82199,1.29134,0.74891,0.79263,0.79169,0.53232,1.03827,1.02784,1.46497,0.0011684,0.0011684,0.0011684
65,2488.51,1.04426,0.83608,1.33131,0.76868,0.76105,0.78971,0.5249,1.05894,1.09671,1.45607,0.0011552,0.0011552,0.0011552
66,2526.08,1.01451,0.81657,1.30827,0.74103,0.75158,0.80367,0.56972,1.01598,1.11384,1.41021,0.001142,0.001142,0.001142
67,2563.42,1.01519,0.81433,1.30712,0.8496,0.75895,0.85779,0.59072,1.04286,0.93118,1.41921,0.0011288,0.0011288,0.0011288
